index,listsetdiff,numpysetdiff1d
59002,0.42339940600504633,0.9825757630023872
60002,0.46538194999448024,0.986664326992468
61002,0.430741685006069,1.0111561079975218
62002,0.4522082519979449,1.0026471150049474
63002,0.4441437479981687,1.0598921380005777
64002,0.44190163299208507,1.0324739450006746
65002,0.4433539519959595,1.067937386003905
66002,0.4689678060094593,1.0757936959998915
67002,0.5167505429999437,1.134170654011541
68002,0.5057604600006016,1.1219455039972672
69002,0.5002504139993107,1.1607779059995664
70002,0.500213077000808,1.1678457369998796
71002,0.5227372689987533,1.1634067520062672
72002,0.4934040920052212,1.1745719340106007
73002,0.49245796298782807,1.2017786249925848
74002,0.5153068629879272,1.2177023620024556
75002,0.5092262109974399,1.2325299730000552
76002,0.520651180006098,1.2593504740070784
77002,0.5138489729870344,1.2632265880092746
78002,0.5318011240015039,1.2850438829918858
79002,0.5389244309917558,1.2925163290055934
80002,0.5259217950078892,1.3051984460034873
81002,0.5219583099969896,1.3197247500065714
82002,0.5493295680062147,1.3305185140052345
83002,0.527625000991975,1.3514561859919922
84002,0.5549991849984508,1.4465550290042302
85002,0.6451898369996343,1.408726890993421
86002,0.6518999179970706,1.5098059340089094
87002,0.629083885010914,1.427316133005661
88002,0.6438366039947141,1.5206305390020134
89002,0.5968322319968138,1.4664081829978386
90002,0.6637938579951879,1.5460248719900846
91002,0.6073127310082782,1.4977576730016153
92002,0.6662611399951857,1.5893639709975105
93002,0.6272184290137375,1.530852234995109
94002,0.6731967699888628,1.625650140005746
95002,0.6323949189973064,1.5516872730077012
96002,0.6765497620071983,1.6547780459950445
97002,0.6394703959958861,1.5919378669932485
98002,0.6995725370070431,1.7156764029932674
99002,0.6509816360048717,1.6345846659969538
100002,0.6964160930074286,1.7268560419906862
120002,0.7968533800012665,1.9885286719945725
140002,1.1903493450081442,2.3396058429934783
160002,1.4223503289977089,2.7072190470062196
180002,1.5786239419976482,3.2417910369986203
200002,1.7160555750015192,3.4139526170038152
220002,1.8993837659945711,4.020048032005434
240002,1.8991320799977984,4.144832417005091
260002,2.8672875210031634,4.535612699997728
280002,3.114219872004469,4.882243863001349
300002,3.3243484209961025,5.270469313996728
320002,3.5769204030075343,5.671503745004884
340002,3.980458498990629,6.035349020006834
360002,4.132156527004554,6.369333723007003
380002,4.3830208529980155,6.729983632001677
400002,4.633921747998102,7.168058807001216
420002,4.850835546007147,7.549113635002868
440002,5.049691120002535,7.919893922997289
460002,5.249858480005059,8.214076105999993
480002,5.768880420000642,8.82371826999588
